id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
211785,"Филе бедра индейки «Краснобор», 500 г",https://www.auchan.ru/product/file-bedra-indeyki-0-500/,293.99,,Краснобор
4545,"Медальоны «Пава-Пава» индейка, 600 г",https://www.auchan.ru/product/medalon-pava-pava-indeyki-ohlazhdennyy-600-g/,299,,Пава Пава
111182,"Филе грудки индейки «Каждый день» (0,5-1 кг), 1 упаковка ~ 0,5 кг",https://www.auchan.ru/product/kdfile_grudki_ind_ohl_vu/,499.99,,Каждый день
111180,"Бедро индейки на кости «Каждый день» (0,5-1 кг), 1 упаковка ~ 0,5 кг",https://www.auchan.ru/product/kdbedro_ind_ohl_vu/,429.99,,Каждый день
7908,"Филе голени индейки «Индилайт» охлажденное, 600 г",https://www.auchan.ru/product/file-indeyki-indilayt-goleni-ohlazhdennoe-600-g/,304.99,,Индилайт
199080,"Филе бедра индейки «Каждый день» (0,8-1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/kd-file-bedra-ind-ohl-v-u/,509.99,,Каждый день
199085,"Филе грудки индейки «Каждый день» (0,8-1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/kd-file-grudki-ind-ohl-v-u/,499.99,,Каждый день
287791,"Филе цыпленка-бройлера «Петелинка» Медальон охлажденное, 550 г",https://www.auchan.ru/product/file-medalon-550g-petelinka/,307.99,,Петелинка
145405,"Стейк индейки «Индилайт» По-мексикански охлажденный, 600 г",https://www.auchan.ru/product/steyk-po-meksikanski-600g-ohl/,415.99,,Индилайт
211802,"Крыло индейки «Каждый день» плечевая часть (1,2-1,6 кг), 1 упаковка ~ 1,5 кг",https://www.auchan.ru/product/kd-krylo-plech-chast-ind-vak/,239.99,,Каждый день
199079,"Голень индейки «Каждый день» на кости (0,8-1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/kd-golen-ind-ohl-vu/,249.99,,Каждый день
261752,"Крыло куриное «Латифа», вес",https://www.auchan.ru/product/krylo-plech-chast-latifa-kg/,328.99,,Латифа
237113,"Филе грудки индейки «Пава Пава» большое охлажденное, 800 г",https://www.auchan.ru/product/file-bol-grud-ind-pava-800g/,517.99,,Пава Пава
283306,"Филе грудки индейки «Латифа», 450 г",https://www.auchan.ru/product/file-grudki-indeyki-450g-ltf/,254.99,,Латифа
211401,"Вырезка из индейки «Индилайт» охлажденная, 800 г",https://www.auchan.ru/product/vyrezka-iz-indeyki-800-g/,488.99,,Индилайт
18634,"Эскалоп из индейки «Пава Пава» охлажденный, 600 г",https://www.auchan.ru/product/eskalop-iz-indeyki-pava-pava-ohlazhdennyy-600-g/,359.49,,Пава Пава
58428,"Филе бедра индейки «Индилайт» охлажденное (0,9 - 1,2 кг), 1 упаковка ~ 1 кг",https://www.auchan.ru/product/file_bedra_ind_lot_gvu_ohl_ves/,628.99,,Индилайт
22906,"Мясо перепела Qegg без кости охлажденное, 350 г",https://www.auchan.ru/product/myaso-perepela-qegg-bez-kosti-ohlazhdennoe-350-g/,509.99,,Qegg
236653,"Карпаччо из индейки «Индилайт» охлажденное, 300 г",https://www.auchan.ru/product/karpachcho-iz-indeyki-300-g/,208.99,,Индилайт
4549,"Филе грудки индейки «Индилайт» халяль охлажденное, 500 г",https://www.auchan.ru/product/file-indilayt-grudki-halyal-ohlazhdennoe/,354.99,,Индилайт
302419,"Цыпленок Табака «Наша птичка», вес",https://www.auchan.ru/product/cyplenok-tabaka-nasha-ptichka/,376.99,,Наша птичка
287797,"Филе цыпленка-бройлера «Петелинка» кубики охлажденные, 550 гК",https://www.auchan.ru/product/kubiki-kur-550g-petelinka/,286.99,,Петелинка
154150,"Тефтели куриные «Троекурово», 350 г",https://www.auchan.ru/product/tefteli-350g-mga-troekurovo/,109.9,163.99,Троекурово
72832,"Крыло куриное «Домашняя курочка» охлажденное (0,7 - 1 кг), 1 упаковка ~ 0,8 кг",https://www.auchan.ru/product/krylo_ohlves/,349,475.99,Домашняя курочка
